Date,Workout,Exercise,Weight,Sets,Reps
2015-10-20,5x5 A,Squat,180,5,5
2015-10-20,5x5 A,Overhead Press ,75,5,5
2015-10-20,5x5 A,Deadlift,205,1,5
2015-11-11,5x5 B,Squat,165,5,5
2015-11-11,5x5 B,Bench Press,105,5,5
2015-11-11,5x5 B,Bentover Row,105,5,5
2015-11-15,5x5 A,Squat,175,5,5
2015-11-15,5x5 A,Overhead Press ,75,5,5
2015-11-15,5x5 A,Deadlift,205,1,5
2015-11-17,5x5 B,Squat,175,5,5
2015-11-17,5x5 B,Bench Press,110,5,5
2015-11-17,5x5 B,Bentover Row,115,5,5
2015-11-19,5x5 A,Squat,180,5,5
2015-11-19,5x5 A,Overhead Press ,75,5,5
2015-11-19,5x5 A,Deadlift,205,1,5
2015-11-23,5x5 B,Squat,180,5,5
2015-11-23,5x5 B,Bench Press,115,5,5
2015-11-23,5x5 B,Bentover Row,120,5,5
2015-11-30,5x5 A,Squat,180,5,5
2015-11-30,5x5 A,Overhead Press ,75,5,5
2015-11-30,5x5 A,Deadlift,205,1,5
2015-12-02,5x5 B,Squat,180,5,5
2015-12-02,5x5 B,Bench Press,120,5,5
2015-12-02,5x5 B,Bentover Row,125,5,5
2015-12-06,5x5 A,Squat,180,5,5
2015-12-06,5x5 A,Overhead Press ,75,5,5
2015-12-06,5x5 A,Deadlift,215,1,5
2015-12-09,5x5 B,Squat,180,5,5
2015-12-09,5x5 B,Bench Press,120,5,5
2015-12-09,5x5 B,Bentover Row,125,5,5
2015-12-13,5x5 A,Squat,180,5,5
2015-12-13,5x5 A,Overhead Press ,75,5,5
2015-12-13,5x5 A,Deadlift,215,1,5
2015-12-15,5x5 B,Squat,180,5,5
2015-12-15,5x5 B,Bench Press,120,5,5
2015-12-15,5x5 B,Bentover Row,125,5,5
2016-01-06,5x5 A,Squat,130,5,5
2016-01-06,5x5 A,Overhead Press ,65,5,5
2016-01-06,5x5 A,Deadlift,180,1,5
2016-01-14,5x5 A,Squat,165,5,5
2016-01-14,5x5 A,Overhead Press ,70,5,5
2016-01-14,5x5 A,Deadlift,195,1,5
2016-01-18,5x5 B,Squat,165,5,5
2016-01-18,5x5 B,Bench Press,115,5,5
2016-01-18,5x5 B,Bentover Row,115,5,5
2016-01-20,5x5 A,Squat,155,5,5
2016-01-20,5x5 A,Overhead Press ,65,5,5
2016-01-20,5x5 A,Deadlift,195,1,5
2016-01-25,5x5 B,Squat,165,5,5
2016-01-25,5x5 B,Bench Press,115,5,5
2016-01-25,5x5 B,Bentover Row,115,5,5
2016-01-27,5x5 B,Squat,170,5,5
2016-01-27,5x5 B,Overhead Press ,75,5,5
2016-01-27,5x5 B,Deadlift,205,1,5
2016-01-29,5x5 A,Squat,175,5,5
2016-01-29,5x5 A,Bench Press,115,5,5
2016-01-29,5x5 A,Bentover Row,120,5,5
2016-02-01,5x5 B,Squat,175,5,5
2016-02-01,5x5 B,Overhead Press ,75,5,5
2016-02-01,5x5 B,Deadlift,215,1,5
2016-02-03,5x5 B,Squat,175,5,5
2016-02-03,5x5 B,Bench Press,120,5,5
2016-02-03,5x5 B,Bentover Row,125,5,5
2016-02-05,5x5 B,Squat,175,5,5
2016-02-05,5x5 B,Overhead Press ,75,5,5
2016-02-05,5x5 B,Deadlift,225,1,5
2016-02-08,5x5 A,Squat,175,5,5
2016-02-08,5x5 A,Bench Press,125,5,5
2016-02-08,5x5 A,Bentover Row,125,5,5
2016-02-12,5x5 B,Squat,175,5,5
2016-02-12,5x5 B,Overhead Press ,75,5,5
2016-02-12,5x5 B,Deadlift,225,1,5
2016-02-17,5x5 B,Squat,165,5,5
2016-02-17,5x5 B,Bench Press,115,5,5
2016-02-17,5x5 B,Bentover Row,115,5,5
2016-02-22,5x5 B,Squat,175,5,5
2016-02-22,5x5 B,Overhead Press ,75,5,5
2016-02-22,5x5 B,Deadlift,225,1,5
2016-02-24,5x5 A,Squat,175,5,5
2016-02-24,5x5 A,Bench Press,120,5,5
2016-02-24,5x5 A,Bentover Row,120,5,5
2016-03-02,5x5 B,Squat,170,5,5
2016-03-02,5x5 B,Overhead Press ,75,5,5
2016-03-02,5x5 B,Deadlift,225,1,5
2016-03-04,5x5 B,Squat,175,5,5
2016-03-04,5x5 B,Bench Press,115,5,5
2016-03-04,5x5 B,Bentover Row,120,5,5
2016-03-07,5x5 B,Squat,175,5,5
2016-03-07,5x5 B,Overhead Press ,75,5,5
2016-03-07,5x5 B,Deadlift,225,1,5
2016-03-09,5x5 A,Squat,165,5,5
2016-03-09,5x5 A,Bench Press,120,5,5
2016-03-09,5x5 A,Bentover Row,120,5,5
2016-03-14,5x5 B,Squat,165,5,5
2016-03-14,5x5 B,Overhead Press ,65,5,5
2016-03-14,5x5 B,Deadlift,225,1,5
2016-03-16,5x5 B,Squat,170,5,5
2016-03-16,5x5 B,Bench Press,120,5,5
2016-03-16,5x5 B,Bentover Row,125,5,5
2016-03-21,5x5 A,Squat,170,5,5
2016-03-21,5x5 A,Overhead Press ,75,5,5
2016-03-21,5x5 A,Deadlift,225,1,5
2016-03-30,5x5 B,Squat,175,5,5
2016-03-30,5x5 B,Bench Press,125,5,5
2016-03-30,5x5 B,Bentover Row,125,5,5
2016-03-31,5x5 B,Squat,165,5,5
2016-03-31,5x5 B,Overhead Press ,5,5,5
2016-03-31,5x5 B,Deadlift,225,1,5
2016-04-01,5x5 B,Squat,170,5,5
2016-04-01,5x5 B,Bench Press,120,5,5
2016-04-01,5x5 B,Bentover Row,120,5,5
2016-04-06,5x5 A,Squat,175,5,5
2016-04-06,5x5 A,Overhead Press ,75,5,5
2016-04-06,5x5 A,Deadlift,225,1,5
2016-04-10,5x5 B,Squat,155,5,5
2016-04-10,5x5 B,Bench Press,120,5,5
2016-04-10,5x5 B,Bentover Row,120,5,5
2016-04-12,5x5 B,Squat,165,5,5
2016-04-12,5x5 B,Overhead Press ,75,5,5
2016-04-12,5x5 B,Deadlift,225,1,5
2016-04-14,5x5 B,Squat,155,5,5
2016-04-14,5x5 B,Bench Press,125,5,5
2016-04-14,5x5 B,Bentover Row,120,5,5
2016-04-27,5x5 A,Squat,155,5,5
2016-04-27,5x5 A,Overhead Press ,75,5,5
2016-04-27,5x5 A,Deadlift,200,1,5
2016-04-28,5x5 B,Squat,160,5,5
2016-04-28,5x5 B,Bench Press,115,5,5
2016-04-28,5x5 B,Bentover Row,115,5,5
2016-05-04,5x5 B,Squat,165,5,5
2016-05-04,5x5 B,Overhead Press ,70,5,5
2016-05-04,5x5 B,Deadlift,205,1,5
2016-05-11,5x5 B,Squat,165,5,5
2016-05-11,5x5 B,Overhead Press ,70,5,5
2016-05-11,5x5 B,Deadlift,225,1,5
2016-05-16,5x5 A,Squat,170,5,5
2016-05-16,5x5 A,Bench Press,125,5,5
2016-05-16,5x5 A,Bentover Row,125,5,5
2016-05-18,5x5 A,Squat,165,5,5
2016-05-18,5x5 A,Bench Press,120,5,5
2016-05-18,5x5 A,Bentover Row,120,5,5
2016-05-19,5x5 B,Squat,170,5,5
2016-05-19,5x5 B,Overhead Press ,75,5,5
2016-05-19,5x5 B,Deadlift,230,1,5
2016-05-23,5x5 A,Squat,175,5,5
2016-05-23,5x5 A,Bench Press,125,5,5
2016-05-23,5x5 A,Bentover Row,125,5,5
2016-05-25,5x5 B,Squat,175,5,5
2016-05-25,5x5 B,Overhead Press ,75,5,5
2016-05-25,5x5 B,Deadlift,235,1,5
2016-05-30,5x5 B,Squat,175,5,5
2016-05-30,5x5 B,Bench Press,125,5,5
2016-05-30,5x5 B,Bentover Row,125,5,5
2016-06-02,5x5 B,Squat,180,5,5
2016-06-02,5x5 B,Overhead Press ,75,5,5
2016-06-02,5x5 B,Deadlift,240,1,5
2016-06-06,5x5 A,Squat,180,5,5
2016-06-06,5x5 A,Bench Press,125,5,5
2016-06-06,5x5 A,Bentover Row,125,5,5
2016-06-08,5x5 B,Squat,185,5,5
2016-06-08,5x5 B,Overhead Press ,75,5,5
2016-06-08,5x5 B,Deadlift,250,1,5
2016-06-10,5x5 A,Squat,180,5,5
2016-06-10,5x5 A,Bench Press,125,5,5
2016-06-10,5x5 A,Bentover Row,125,5,5
2016-06-13,5x5 B,Squat,180,5,5
2016-06-13,5x5 B,Overhead Press ,75,5,5
2016-06-13,5x5 B,Deadlift,230,1,5
2016-06-15,5x5 A,Squat,185,5,5
2016-06-15,5x5 A,Bench Press,125,5,5
2016-06-15,5x5 A,Bentover Row,125,5,5
2016-06-18,5x5 B,Squat,165,5,5
2016-06-18,5x5 B,Overhead Press ,75,5,5
2016-06-18,5x5 B,Deadlift,240,1,5
2016-06-21,5x5 A,Squat,180,5,5
2016-06-21,5x5 A,Bench Press,125,5,5
2016-06-21,5x5 A,Bentover Row,130,5,5
2016-06-23,5x5 B,Squat,180,5,5
2016-06-23,5x5 B,Overhead Press ,75,5,5
2016-06-23,5x5 B,Deadlift,230,1,5
2016-06-26,5x5 A,Squat,180,5,5
2016-06-26,5x5 A,Bench Press,125,5,5
2016-06-26,5x5 A,Bentover Row,130,5,5
2016-06-28,5x5 B,Squat,180,5,5
2016-06-28,5x5 B,Overhead Press ,75,5,5
2016-06-28,5x5 B,Deadlift,240,1,5
2016-07-02,5x5 A,Squat,180,5,5
2016-07-02,5x5 A,Bench Press,125,5,5
2016-07-02,5x5 A,Bentover Row,130,5,5
2016-07-05,5x5 B,Squat,180,5,5
2016-07-05,5x5 B,Overhead Press ,75,5,5
2016-07-05,5x5 B,Deadlift,250,1,5
2016-07-09,5x5 A,Squat,180,5,5
2016-07-09,5x5 A,Bench Press,125,5,5
2016-07-09,5x5 A,Bentover Row,130,5,5
2016-07-12,5x5 B,Squat,180,5,5
2016-07-12,5x5 B,Overhead Press ,75,5,5
2016-07-12,5x5 B,Deadlift,250,1,5
2016-07-16,5x5 A,Squat,180,5,5
2016-07-16,5x5 A,Bench Press,125,5,5
2016-07-16,5x5 A,Bentover Row,130,5,5
2016-07-18,5x5 B,Squat,180,5,5
2016-07-18,5x5 B,Overhead Press ,75,5,5
2016-07-18,5x5 B,Deadlift,255,1,5
2016-07-20,5x5 A,Squat,180,5,5
2016-07-20,5x5 A,Bench Press,125,5,5
2016-07-20,5x5 A,Bentover Row,130,5,5
2016-07-22,5x5 B,Squat,180,5,5
2016-07-22,5x5 B,Overhead Press ,75,5,5
2016-07-22,5x5 B,Deadlift,205,1,5
2016-07-29,5x5 A,Squat,180,5,5
2016-07-29,5x5 A,Bench Press,125,5,5
2016-07-29,5x5 A,Bentover Row,130,5,5
2016-08-02,5x5 B,Squat,180,5,5
2016-08-02,5x5 B,Overhead Press ,75,5,5
2016-08-02,5x5 B,Deadlift,255,1,5
2016-08-06,5x5 A,Squat,180,5,5
2016-08-06,5x5 A,Bench Press,125,5,5
2016-08-06,5x5 A,Bentover Row,130,5,5
2016-08-08,5x5 B,Squat,185,5,5
2016-08-08,5x5 B,Overhead Press ,75,5,5
2016-08-08,5x5 B,Deadlift,255,1,5
2016-08-10,5x5 A,Squat,185,5,5
2016-08-10,5x5 A,Bench Press,125,5,5
2016-08-10,5x5 A,Bentover Row,130,5,5
2016-08-13,5x5 B,Squat,185,5,5
2016-08-13,5x5 B,Overhead Press ,75,5,5
2016-08-13,5x5 B,Deadlift,255,1,5
2016-08-15,5x5 A,Squat,185,5,5
2016-08-15,5x5 A,Bench Press,125,5,5
2016-08-15,5x5 A,Bentover Row,130,5,5
2016-08-20,5x5 B,Squat,195,5,5
2016-08-20,5x5 B,Overhead Press ,75,5,5
2016-08-20,5x5 B,Deadlift,255,1,5
2016-08-30,5x5 A,Squat,180,5,5
2016-08-30,5x5 A,Bench Press,125,5,5
2016-08-30,5x5 A,Bentover Row,130,5,5
2016-06-06,5x5 B,Squat,185,5,5
2016-06-06,5x5 B,Overhead Press ,75,5,5
2016-06-06,5x5 B,Deadlift,230,1,5
2016-06-14,5x5 A,Squat,180,5,5
2016-06-14,5x5 A,Bench Press,120,5,5
2016-06-14,5x5 A,Bentover Row,130,5,5
2016-06-24,5x5 B,Squat,180,5,5
2016-06-24,5x5 B,Overhead Press ,70,5,5
2016-06-24,5x5 B,Deadlift,230,1,5
2016-06-28,5x5 A,Squat,185,5,5
2016-06-28,5x5 A,Bench Press,120,5,5
2016-06-28,5x5 A,Bentover Row,120,5,5
2016-10-03,5x5 B,Squat,180,5,5
2016-10-03,5x5 B,Overhead Press ,70,5,5
2016-10-03,5x5 B,Deadlift,250,1,5
2016-10-11,5x5 A,Squat,180,5,5
2016-10-11,5x5 A,Bench Press,115,5,5
2016-10-11,5x5 A,Bentover Row,125,5,5
2016-10-17,5x5 B,Squat,185,5,5
2016-10-17,5x5 B,Overhead Press ,70,5,5
2016-10-17,5x5 B,Deadlift,225,1,5
2016-10-24,5x5 A,Squat,185,5,5
2016-10-24,5x5 A,Bench Press,120,5,5
2016-10-24,5x5 A,Bentover Row,130,5,5
2016-10-27,5x5 B,Squat,185,5,5
2016-10-27,5x5 B,Overhead Press ,70,5,5
2016-10-27,5x5 B,Deadlift,225,1,5

2016-12-26,Power Upper,Barbell Bench,115,3,5
2017-01-02,Power Upper,Barbell Bench,120,3,5
2017-01-09,Power Upper,Barbell Bench,120,4,5
2017-01-16,Power Upper,Barbell Bench,125,4,5
2017-01-23,Power Upper,Barbell Bench,125,4,5
2017-01-30,Power Upper,Barbell Bench,125,4,5
2017-02-06,Power Upper,Barbell Bench,130,4,5
2017-02-13,Power Upper,Barbell Bench,130,4,5
2017-02-23,Power Upper,Barbell Bench,135,4,5
2017-02-27,Power Upper,Barbell Bench,135,4,5
2017-03-06,Power Upper,Barbell Bench,135,4,5
2017-03-13,Power Upper,Barbell Bench,135,4,5
2017-03-23,Power Upper,Barbell Bench,135,4,5
2017-03-27,Power Upper,Barbell Bench,140,4,5
2017-04-03,Power Upper,Barbell Bench,140,4,5
2017-04-09,Power Upper,Barbell Bench,140,4,5
2017-04-20,Power Upper,Barbell Bench,145,4,5
2017-04-24,Power Upper,Barbell Bench,145,4,5
2017-05-01,Power Upper,Barbell Bench,145,4,5
2017-05-09,Power Upper,Barbell Bench,145,4,5
2017-05-15,Power Upper,Barbell Bench,145,4,5
2017-06-01,Power Upper,Barbell Bench,135,4,5
2017-06-05,Power Upper,Barbell Bench,135,4,5
2017-06-12,Power Upper,Barbell Bench,140,4,5
2017-06-17,Power Upper,Barbell Bench,140,4,5
2017-06-26,Power Upper,Barbell Bench,145,4,5
2017-07-18,Power Upper,Barbell Bench,125,4,5
2017-07-25,Power Upper,Barbell Bench,135,4,5
2017-07-31,Power Upper,Barbell Bench,140,4,5
2017-08-10,Power Upper,Barbell Bench,140,4,5
2017-08-14,Power Upper,Barbell Bench,145,4,5
2017-08-21,Power Upper,Barbell Bench,145,4,5
2017-08-28,Power Upper,Barbell Bench,145,4,5
2017-09-07,Power Upper,Barbell Bench,150,4,5
2017-09-11,Power Upper,Barbell Bench,150,4,5
2017-09-19,Power Upper,Barbell Bench,150,4,5
2017-09-25,Power Upper,Barbell Bench,155,4,5
2017-10-04,Power Upper,Barbell Bench,155,4,5
2017-10-12,Power Upper,Barbell Bench,145,4,5
2017-10-19,Power Upper,Barbell Bench,155,4,5
2017-10-26,Power Upper,Barbell Bench,145,4,5
2017-11-06,Power Upper,Barbell Bench,145,4,5
2016-12-26,Power Upper,Incline Dumbbell Bench,35,3,10
2017-01-02,Power Upper,Incline Dumbbell Bench,35,3,10
2017-01-09,Power Upper,Incline Dumbbell Bench,35,3,10
2017-01-16,Power Upper,Incline Dumbbell Bench,40,3,10
2017-01-23,Power Upper,Incline Dumbbell Bench,40,3,10
2017-01-30,Power Upper,Incline Dumbbell Bench,40,4,10
2017-02-06,Power Upper,Incline Dumbbell Bench,40,4,10
2017-02-13,Power Upper,Incline Dumbbell Bench,40,4,10
2017-02-23,Power Upper,Incline Dumbbell Bench,40,4,10
2017-02-27,Power Upper,Incline Dumbbell Bench,45,4,8
2017-03-06,Power Upper,Incline Dumbbell Bench,45,4,10
2017-03-13,Power Upper,Incline Dumbbell Bench,45,4,10
2017-03-23,Power Upper,Incline Dumbbell Bench,45,4,10
2017-03-27,Power Upper,Incline Dumbbell Bench,45,4,10
2017-04-03,Power Upper,Incline Dumbbell Bench,50,4,8
2017-04-09,Power Upper,Incline Dumbbell Bench,50,4,8
2017-04-20,Power Upper,Incline Dumbbell Bench,50,4,8
2017-04-24,Power Upper,Incline Dumbbell Bench,50,4,8
2017-05-01,Power Upper,Incline Dumbbell Bench,50,4,10
2017-05-09,Power Upper,Incline Dumbbell Bench,50,4,10
2017-05-15,Power Upper,Incline Dumbbell Bench,50,4,10
2017-06-01,Power Upper,Incline Dumbbell Bench,40,4,10
2017-06-05,Power Upper,Incline Dumbbell Bench,40,4,10
2017-06-12,Power Upper,Incline Dumbbell Bench,45,4,10
2017-06-17,Power Upper,Incline Dumbbell Bench,45,4,10
2017-06-26,Power Upper,Incline Dumbbell Bench,45,4,10
2017-07-18,Power Upper,Incline Dumbbell Bench,40,4,10
2017-07-25,Power Upper,Incline Dumbbell Bench,40,4,10
2017-07-31,Power Upper,Incline Dumbbell Bench,45,4,10
2017-08-10,Power Upper,Incline Dumbbell Bench,45,4,10
2017-08-14,Power Upper,Incline Dumbbell Bench,50,4,8
2017-08-21,Power Upper,Incline Dumbbell Bench,50,4,9
2017-08-28,Power Upper,Incline Dumbbell Bench,50,4,8
2017-09-07,Power Upper,Incline Dumbbell Bench,50,4,9
2017-09-11,Power Upper,Incline Dumbbell Bench,50,4,10
2017-09-19,Power Upper,Incline Dumbbell Bench,50,4,10
2017-09-25,Power Upper,Incline Dumbbell Bench,50,4,10
2017-10-04,Power Upper,Incline Dumbbell Bench,55,4,8
2017-10-12,Power Upper,Incline Dumbbell Bench,50,4,10
2017-10-19,Power Upper,Incline Dumbbell Bench,55,4,8
2017-10-26,Power Upper,Incline Dumbbell Bench,55,4,8
2017-11-06,Power Upper,Incline Dumbbell Bench,50,4,10
2016-12-26,Power Upper,Bent Over Row,115,3,5
2017-01-02,Power Upper,Bent Over Row,120,3,5
2017-01-09,Power Upper,Bent Over Row,125,3,5
2017-01-16,Power Upper,Bent Over Row,125,4,5
2017-01-23,Power Upper,Bent Over Row,125,4,5
2017-01-30,Power Upper,Bent Over Row,115,4,5
2017-02-06,Power Upper,Bent Over Row,115,4,5
2017-02-13,Power Upper,Bent Over Row,115,4,5
2017-02-23,Power Upper,Bent Over Row,115,4,5
2017-02-27,Power Upper,Bent Over Row,125,4,5
2017-03-06,Power Upper,Bent Over Row,125,4,5
2017-03-13,Power Upper,Bent Over Row,125,4,5
2017-03-23,Power Upper,Bent Over Row,135,4,5
2017-03-27,Power Upper,Bent Over Row,135,4,5
2017-04-03,Power Upper,Bent Over Row,135,4,5
2017-04-09,Power Upper,Bent Over Row,135,4,5
2017-04-20,Power Upper,Bent Over Row,140,4,5
2017-04-24,Power Upper,Bent Over Row,140,4,5
2017-05-01,Power Upper,Bent Over Row,145,4,5
2017-05-09,Power Upper,Bent Over Row,145,4,5
2017-05-15,Power Upper,Bent Over Row,145,4,5
2017-06-01,Power Upper,Bent Over Row,115,4,5
2017-06-05,Power Upper,Bent Over Row,115,4,5
2017-06-12,Power Upper,Bent Over Row,120,4,5
2017-06-17,Power Upper,Bent Over Row,125,4,5
2017-06-26,Power Upper,Bent Over Row,130,4,5
2017-07-18,Power Upper,Bent Over Row,115,4,5
2017-07-25,Power Upper,Bent Over Row,120,4,5
2017-07-31,Power Upper,Bent Over Row,125,4,5
2017-08-10,Power Upper,Bent Over Row,125,4,5
2017-08-14,Power Upper,Bent Over Row,130,4,5
2017-08-21,Power Upper,Bent Over Row,135,4,5
2017-08-28,Power Upper,Bent Over Row,115,4,5
2017-09-07,Power Upper,Bent Over Row,125,4,5
2017-09-11,Power Upper,Bent Over Row,125,4,5
2017-09-19,Power Upper,Bent Over Row,130,4,5
2017-09-25,Power Upper,Bent Over Row,135,4,5
2017-10-04,Power Upper,Bent Over Row,135,4,5
2017-10-12,Power Upper,Bent Over Row,135,4,5
2017-10-19,Power Upper,Bent Over Row,135,4,5
2017-10-26,Power Upper,Bent Over Row,135,4,5
2017-11-06,Power Upper,Bent Over Row,135,4,5
2016-12-26,Power Upper,Lat Pull Down,45,3,10
2017-01-02,Power Upper,Lat Pull Down,50,3,10
2017-01-09,Power Upper,Lat Pull Down,50,3,10
2017-01-16,Power Upper,Lat Pull Down,50,3,10
2017-01-23,Power Upper,Lat Pull Down,50,3,10
2017-01-30,Power Upper,Lat Pull Down,50,4,10
2017-02-06,Power Upper,Lat Pull Down,55,4,10
2017-02-13,Power Upper,Lat Pull Down,50,4,10
2017-02-23,Power Upper,Lat Pull Down,55,4,10
2017-02-27,Power Upper,Lat Pull Down,60,4,10
2017-03-06,Power Upper,Lat Pull Down,60,4,10
2017-03-13,Power Upper,Lat Pull Down,60,4,10
2017-03-23,Power Upper,Lat Pull Down,60,4,10
2017-03-27,Power Upper,Lat Pull Down,60,4,10
2017-04-03,Power Upper,Lat Pull Down,60,4,10
2017-04-09,Power Upper,Lat Pull Down,60,4,10
2017-04-20,Power Upper,Lat Pull Down,70,4,8
2017-04-24,Power Upper,Lat Pull Down,70,4,8
2017-05-01,Power Upper,Lat Pull Down,70,4,8
2017-05-09,Power Upper,Lat Pull Down,70,4,8
2017-05-15,Power Upper,Lat Pull Down,70,4,9
2017-06-01,Power Upper,Lat Pull Down,60,4,10
2017-06-05,Power Upper,Lat Pull Down,60,4,10
2017-06-12,Power Upper,Lat Pull Down,60,4,10
2017-06-17,Power Upper,Lat Pull Down,60,4,10
2017-06-26,Power Upper,Lat Pull Down,60,4,10
2017-07-18,Power Upper,Lat Pull Down,50,4,10
2017-07-25,Power Upper,Lat Pull Down,55,4,10
2017-07-31,Power Upper,Lat Pull Down,55,4,10
2017-08-10,Power Upper,Lat Pull Down,55,4,10
2017-08-14,Power Upper,Lat Pull Down,60,4,10
2017-08-21,Power Upper,Lat Pull Down,60,4,10
2017-08-28,Power Upper,Lat Pull Down,60,4,10
2017-09-07,Power Upper,Lat Pull Down,65,4,10
2017-09-11,Power Upper,Lat Pull Down,65,4,10
2017-09-19,Power Upper,Lat Pull Down,65,4,10
2017-09-25,Power Upper,Lat Pull Down,70,4,10
2017-10-04,Power Upper,Lat Pull Down,70,4,8
2017-10-12,Power Upper,Lat Pull Down,60,4,10
2017-10-19,Power Upper,Lat Pull Down,60,4,10
2017-10-26,Power Upper,Lat Pull Down,60,4,10
2017-11-06,Power Upper,Lat Pull Down,60,4,10
2016-12-26,Power Upper,Overhead Press,60,2,8
2017-01-02,Power Upper,Overhead Press,60,2,8
2017-01-09,Power Upper,Overhead Press,60,2,8
2017-01-16,Power Upper,Overhead Press,60,2,8
2017-01-23,Power Upper,Overhead Press,60,3,8
2017-01-30,Power Upper,Overhead Press,60,3,8
2017-02-06,Power Upper,Overhead Press,70,3,6
2017-02-13,Power Upper,Overhead Press,70,3,8
2017-02-23,Power Upper,Overhead Press,70,3,7
2017-02-27,Power Upper,Overhead Press,70,3,7
2017-03-06,Power Upper,Overhead Press,60,3,8
2017-03-13,Power Upper,Overhead Press,60,3,8
2017-03-23,Power Upper,Overhead Press,70,3,6
2017-03-27,Power Upper,Overhead Press,70,3,7
2017-04-03,Power Upper,Overhead Press,70,3,8
2017-04-09,Power Upper,Overhead Press,70,3,8
2017-04-20,Power Upper,Overhead Press,70,3,8
2017-04-24,Power Upper,Overhead Press,70,3,8
2017-05-01,Power Upper,Overhead Press,70,3,8
2017-05-09,Power Upper,Overhead Press,70,3,7
2017-05-15,Power Upper,Overhead Press,70,3,6
2017-06-01,Power Upper,Overhead Press,60,3,8
2017-06-05,Power Upper,Overhead Press,60,3,8
2017-06-12,Power Upper,Overhead Press,60,3,8
2017-06-17,Power Upper,Overhead Press,60,3,8
2017-06-26,Power Upper,Overhead Press,70,3,6
2017-07-18,Power Upper,Overhead Press,60,3,8
2017-07-25,Power Upper,Overhead Press,60,3,8
2017-07-31,Power Upper,Overhead Press,60,3,8
2017-08-10,Power Upper,Overhead Press,60,3,8
2017-08-14,Power Upper,Overhead Press,60,3,8
2017-08-21,Power Upper,Overhead Press,70,3,6
2017-08-28,Power Upper,Overhead Press,70,3,8
2017-09-07,Power Upper,Overhead Press,70,3,8
2017-09-11,Power Upper,Overhead Press,70,3,7
2017-09-19,Power Upper,Overhead Press,70,3,7
2017-09-25,Power Upper,Overhead Press,70,3,8
2017-10-04,Power Upper,Overhead Press,70,3,7
2017-10-12,Power Upper,Overhead Press,60,3,8
2017-10-19,Power Upper,Overhead Press,60,3,8
2017-10-26,Power Upper,Overhead Press,60,3,8
2017-11-06,Power Upper,Overhead Press,60,3,8
2016-12-26,Power Upper,Barbell Curl,50,2,10
2017-01-02,Power Upper,Barbell Curl,50,2,10
2017-01-09,Power Upper,Barbell Curl,50,3,10
2017-01-16,Power Upper,Barbell Curl,50,3,10
2017-01-23,Power Upper,Barbell Curl,50,3,10
2017-01-30,Power Upper,Barbell Curl,50,3,10
2017-02-06,Power Upper,Barbell Curl,60,3,8
2017-02-13,Power Upper,Barbell Curl,60,3,10
2017-02-23,Power Upper,Barbell Curl,60,3,10
2017-02-27,Power Upper,Barbell Curl,60,3,10
2017-03-06,Power Upper,Barbell Curl,60,3,10
2017-03-13,Power Upper,Barbell Curl,60,3,10
2017-03-23,Power Upper,Barbell Curl,60,3,10
2017-03-27,Power Upper,Barbell Curl,60,3,10
2017-04-03,Power Upper,Barbell Curl,60,3,10
2017-04-09,Power Upper,Barbell Curl,60,3,10
